City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Viedma,AR,-40.81,-63.0,62.01,92,100,1.99,overcast clouds
288,Altamira,BR,-3.2,-52.21,80.6,83,40,3.36,scattered clouds
289,Srednekolymsk,RU,67.45,153.68,-9.02,91,99,2.84,overcast clouds
290,Agogo,GH,6.8,-1.08,88.86,46,65,4.16,broken clouds
291,Nelson Bay,AU,-32.72,152.15,59.0,77,0,4.7,clear sky
292,Kavaratti,IN,10.57,72.64,84.15,73,19,7.94,few clouds
293,Mountain Home,US,43.13,-115.69,30.2,100,90,9.17,overcast clouds
294,Mineiros,BR,-17.57,-52.55,78.28,61,77,4.29,broken clouds
295,Lyantonde,UG,-0.4,31.16,71.19,77,100,7.07,overcast clouds
296,Ostrovnoy,RU,68.05,39.51,31.41,96,86,17.16,overcast clouds
297,Tasiilaq,GL,65.61,-37.64,34.0,94,100,42.75,overcast clouds
298,Fort Nelson,CA,58.81,-122.7,14.0,92,90,3.36,overcast clouds
299,Angoche,MZ,-16.23,39.91,86.4,60,6,16.13,clear sky
300,Beitbridge,ZW,-22.22,30.0,103.46,16,16,11.9,few clouds
301,Zheleznodorozhnyy,RU,55.75,38.0,39.2,64,0,11.18,clear sky
302,Tabou,CI,4.42,-7.35,84.54,66,43,6.6,scattered clouds
303,Khasan,RU,42.43,130.64,32.74,76,18,17.78,few clouds
304,Marquette,US,46.53,-87.63,55.99,93,90,9.17,fog
305,Santa Ana,US,33.75,-117.87,50.0,66,1,1.48,clear sky
306,Komsomolskiy,UZ,40.43,71.72,50.0,66,40,6.93,scattered clouds
307,Kangaatsiaq,GL,68.31,-53.46,15.87,86,100,5.88,overcast clouds
308,Havelock,US,34.88,-76.9,66.99,93,90,9.17,overcast clouds
309,Faanui,PF,-16.48,-151.75,77.92,82,100,14.54,light rain
310,Akureyri,IS,65.68,-18.09,30.2,86,75,1.12,broken clouds
311,Coralville,US,41.68,-91.58,64.99,88,75,14.99,broken clouds
312,Vostok,RU,46.49,135.88,7.43,95,98,5.66,overcast clouds
313,Bac Lieu,VN,9.29,105.72,79.54,78,89,1.86,light rain
314,Laguna,US,38.42,-121.42,42.01,52,1,6.93,clear sky
315,Bogandinskiy,RU,56.89,65.89,32.0,96,75,8.95,broken clouds
316,Xuddur,SO,4.12,43.89,85.86,48,24,13.33,few clouds
317,Coahuayana,MX,18.73,-103.68,71.53,67,63,2.77,broken clouds
